T_K,P_Pa,k_W_m_K
306,2068427.1879504,0.134205109057288
306,2137374.76088208,0.134232276882419
306,2206322.33381376,0.13425944470755
306,2275269.90674544,0.134286612532681
306,2344217.47967712,0.134313780357812
306,2413165.0526088,0.134340948182944
306,2482112.62554048,0.134368116008075
306,2551060.19847216,0.134395283833206
306,2620007.77140384,0.134422451658337
306,2688955.34433552,0.134449619483468
306,2757902.9172672,0.134476787308599
306,2826850.49019888,0.134503955133731
306,2895798.06313056,0.134531122958862
306,2964745.63606224,0.134558290783993
306,3033693.20899392,0.134585458609124
306,3102640.7819256,0.134612626434255
306,3171588.35485728,0.134639794259386
306,3240535.92778896,0.134666962084518
306,3309483.50072064,0.134694129909649
306,3378431.07365232,0.13472129773478
306,3447378.646584,0.134748465559911
308,1723689.323292,0.133667353511242
308,1792636.89622368,0.133694439891945
308,1861584.46915536,0.133721526272648
308,1930532.04208704,0.133748612653351
308,1999479.61501872,0.133775699034054
308,2068427.1879504,0.133802785414757
308,2137374.76088208,0.13382987179546
308,2206322.33381376,0.133856958176163
308,2275269.90674544,0.133884044556866
308,2344217.47967712,0.133911130937569
308,2413165.0526088,0.133938217318272
308,2482112.62554048,0.133965303698975
308,2551060.19847216,0.133992390079678
308,2620007.77140384,0.134019476460381
308,2688955.34433552,0.134046562841084
308,2757902.9172672,0.134073649221787
308,2826850.49019888,0.13410073560249
308,2895798.06313056,0.134127821983192
308,2964745.63606224,0.134154908363895
308,3033693.20899392,0.134181994744598
308,3102640.7819256,0.134209081125301
308,3171588.35485728,0.134236167506004
308,3240535.92778896,0.134263253886707
308,3309483.50072064,0.13429034026741
308,3378431.07365232,0.134317426648113
308,3447378.646584,0.134344513028816
310,1723689.323292,0.133265437090852
310,1792636.89622368,0.133292442027127
310,1861584.46915536,0.133319446963401
310,1930532.04208704,0.133346451899676
310,1999479.61501872,0.133373456835951
310,2068427.1879504,0.133400461772226
310,2137374.76088208,0.133427466708501
310,2206322.33381376,0.133454471644775
310,2275269.90674544,0.13348147658105
310,2344217.47967712,0.133508481517325
310,2413165.0526088,0.1335354864536
310,2482112.62554048,0.133562491389874
310,2551060.19847216,0.133589496326149
310,2620007.77140384,0.133616501262424
310,2688955.34433552,0.133643506198699
310,2757902.9172672,0.133670511134974
310,2826850.49019888,0.133697516071248
310,2895798.06313056,0.133724521007523
310,2964745.63606224,0.133751525943798
310,3033693.20899392,0.133778530880073
310,3102640.7819256,0.133805535816348
310,3171588.35485728,0.133832540752622
310,3240535.92778896,0.133859545688897
310,3309483.50072064,0.133886550625172
310,3378431.07365232,0.133913555561447
310,3447378.646584,0.133940560497722
312,1723689.323292,0.132863520670462
312,1792636.89622368,0.132890444162308
312,1861584.46915536,0.132917367654155
312,1930532.04208704,0.132944291146002
312,1999479.61501872,0.132971214637848
312,2068427.1879504,0.132998138129695
312,2137374.76088208,0.133025061621541
312,2206322.33381376,0.133051985113388
312,2275269.90674544,0.133078908605235
312,2344217.47967712,0.133105832097081
312,2413165.0526088,0.133132755588928
312,2482112.62554048,0.133159679080774
312,2551060.19847216,0.133186602572621
312,2620007.77140384,0.133213526064468
312,2688955.34433552,0.133240449556314
312,2757902.9172672,0.133267373048161
312,2826850.49019888,0.133294296540007
312,2895798.06313056,0.133321220031854
312,2964745.63606224,0.133348143523701
312,3033693.20899392,0.133375067015547
312,3102640.7819256,0.133401990507394
312,3171588.35485728,0.133428913999241
312,3240535.92778896,0.133455837491087
312,3309483.50072064,0.133482760982934
312,3378431.07365232,0.13350968447478
312,3447378.646584,0.133536607966627
314,1723689.323292,0.132290789771406
314,1792636.89622368,0.132317597204942
314,1861584.46915536,0.132344404638479
314,1930532.04208704,0.132371212072015
314,1999479.61501872,0.132398019505552
314,2068427.1879504,0.132424826939088
314,2137374.76088208,0.132451634372624
314,2206322.33381376,0.132478441806161
314,2275269.90674544,0.132505249239697
314,2344217.47967712,0.132532056673234
314,2413165.0526088,0.13255886410677
314,2482112.62554048,0.132585671540307
314,2551060.19847216,0.132612478973843
314,2620007.77140384,0.13263928640738
314,2688955.34433552,0.132666093840916
314,2757902.9172672,0.132692901274453
314,2826850.49019888,0.132719708707989
314,2895798.06313056,0.132746516141525
314,2964745.63606224,0.132773323575062
314,3033693.20899392,0.132800131008598
314,3102640.7819256,0.132826938442135
314,3171588.35485728,0.132853745875671
314,3240535.92778896,0.132880553309208
314,3309483.50072064,0.132907360742744
314,3378431.07365232,0.132934168176281
314,3447378.646584,0.132960975609817
316,1723689.323292,0.131486956930626
316,1792636.89622368,0.131513601475306
316,1861584.46915536,0.131540246019986
316,1930532.04208704,0.131566890564666
316,1999479.61501872,0.131593535109346
316,2068427.1879504,0.131620179654026
316,2137374.76088208,0.131646824198706
316,2206322.33381376,0.131673468743386
316,2275269.90674544,0.131700113288066
316,2344217.47967712,0.131726757832746
316,2413165.0526088,0.131753402377426
316,2482112.62554048,0.131780046922106
316,2551060.19847216,0.131806691466787
316,2620007.77140384,0.131833336011467
316,2688955.34433552,0.131859980556147
316,2757902.9172672,0.131886625100827
316,2826850.49019888,0.131913269645507
316,2895798.06313056,0.131939914190187
316,2964745.63606224,0.131966558734867
316,3033693.20899392,0.131993203279547
316,3102640.7819256,0.132019847824227
316,3171588.35485728,0.132046492368907
316,3240535.92778896,0.132073136913587
316,3309483.50072064,0.132099781458267
316,3378431.07365232,0.132126426002948
316,3447378.646584,0.132153070547628
318,1723689.323292,0.130683124089845
318,1792636.89622368,0.130709605745669
318,1861584.46915536,0.130736087401493
318,1930532.04208704,0.130762569057316
318,1999479.61501872,0.13078905071314
318,2068427.1879504,0.130815532368964
318,2137374.76088208,0.130842014024788
318,2206322.33381376,0.130868495680611
318,2275269.90674544,0.130894977336435
318,2344217.47967712,0.130921458992259
318,2413165.0526088,0.130947940648082
318,2482112.62554048,0.130974422303906
318,2551060.19847216,0.13100090395973
318,2620007.77140384,0.131027385615554
318,2688955.34433552,0.131053867271377
318,2757902.9172672,0.131080348927201
318,2826850.49019888,0.131106830583025
318,2895798.06313056,0.131133312238849
318,2964745.63606224,0.131159793894672
318,3033693.20899392,0.131186275550496
318,3102640.7819256,0.13121275720632
318,3171588.35485728,0.131239238862143
318,3240535.92778896,0.131265720517967
318,3309483.50072064,0.131292202173791
318,3378431.07365232,0.131318683829615
318,3447378.646584,0.131345165485438
320,1723689.323292,0.130251063937926
320,1792636.89622368,0.130277458040989
320,1861584.46915536,0.130303852144053
320,1930532.04208704,0.130330246247116
320,1999479.61501872,0.13035664035018
320,2068427.1879504,0.130383034453243
320,2137374.76088208,0.130409428556306
320,2206322.33381376,0.13043582265937
320,2275269.90674544,0.130462216762433
320,2344217.47967712,0.130488610865497
320,2413165.0526088,0.13051500496856
320,2482112.62554048,0.130541399071624
320,2551060.19847216,0.130567793174687
320,2620007.77140384,0.13059418727775
320,2688955.34433552,0.130620581380814
320,2757902.9172672,0.130646975483877
320,2826850.49019888,0.130673369586941
320,2895798.06313056,0.130699763690004
320,2964745.63606224,0.130726157793068
320,3033693.20899392,0.130752551896131
320,3102640.7819256,0.130778945999194
320,3171588.35485728,0.130805340102258
320,3240535.92778896,0.130831734205321
320,3309483.50072064,0.130858128308385
320,3378431.07365232,0.130884522411448
320,3447378.646584,0.130910916514511
